BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;136007810;4095;1;0x4080
0;0;383984374;493;26;0x4000
0;0;549807937;4095;4095;0x4080
0;0;943316249;4095;4095;0x4080
0;0;1668997749;4095;4095;0x4080
0;0;2591069561;4095;4095;0x4080
0;0;3931777936;4095;4095;0x4080
0;0;4768467748;5;1;0x4000
0;0;6696883873;4095;4095;0x4080
0;0;6839709873;7;4095;0x4080
0;0;7202580999;4095;4095;0x4080
0;0;7561011499;4095;4095;0x4080
0;0;8592903373;305;18;0x4000
0;0;9378581123;4095;4095;0x4080
0;0;10156517686;4095;1;0x4080
0;0;10801451123;9;3;0x4000
0;0;11226347749;1;0;0x4000
0;0;11301457498;4095;5;0x4080
0;0;12350166248;4095;0;0x4080
0;0;12468198374;4095;4095;0x4080
0;0;12625441874;6;3;0x4000
0;0;12816433873;3;2;0x4000
0;0;12963559935;12;3;0x4000
0;0;12984609998;4095;4095;0x4080
0;0;13073708249;5;1;0x4000
0;0;13295385311;6;0;0x4000
0;0;13676589499;4095;4095;0x4080
0;0;13703767748;14;2;0x4000
0;0;13803086998;4095;1;0x4080
0;0;15931682748;2883;79;0x4000
0;0;16709831624;4095;0;0x4080
0;0;17051621873;4095;0;0x4080
0;0;17239655498;1;0;0x4000
0;0;18383587874;4095;4095;0x4080
0;0;19043719936;14;2;0x4000
0;0;19266229810;22;2;0x4000
0;0;21479042998;23;0;0x4000
0;0;21513389498;4095;4095;0x4080
0;0;23862349936;18;2;0x4000
0;0;24676800124;4095;4;0x4080
0;0;25196452499;4095;1;0x4080
0;0;26126047873;3;0;0x4000
0;0;27362947623;2;2;0x4000
0;0;27519143624;4095;0;0x4080
0;0;27777217248;10;4095;0x4080
0;0;27801687811;4095;4095;0x4080
0;0;27812289749;15;1;0x4000
0;0;27926585624;4095;2;0x4080
0;0;28178567874;4095;0;0x4080
0;0;28537461873;6;0;0x4000
0;0;28609881623;26;6;0x4000
0;0;28668351249;5;2;0x4000
0;0;28762281124;17;1;0x4000
0;0;28805117499;23;7;0x4000
0;0;28914563749;4095;2;0x4080
0;0;29070389685;0;0;0x4000
0;0;29389425749;4095;4095;0x4080
0;0;29512843623;12;3;0x4000
0;0;29583329874;14;2;0x4000
0;0;29601377499;4095;4095;0x4080
0;0;29617015249;4095;1;0x4080
0;0;29810457374;4095;1;0x4080
0;0;32062213874;5;3;0x4000
0;0;32579569373;4095;4095;0x4080
0;0;33030467749;4095;1;0x4080
0;0;33637991623;12;1;0x4000
0;0;33811937874;4095;2;0x4080
0;0;33871925937;4095;1;0x4080
0;0;33979614874;171;17;0x4000
0;0;34394449249;4095;4095;0x4080
0;0;35676751374;4095;2;0x4080
0;0;36096718498;8;1;0x4000
0;0;36198807685;4095;0;0x4080
0;0;36428697810;10;1;0x4000
0;0;36671421873;5;1;0x4000
0;0;36802601749;42;0;0x4000
0;0;37022993999;4095;0;0x4080
0;0;37146137936;4095;4095;0x4080
0;0;37321747811;9;1;0x4000
